Filename,Timestamp,UserID,Emotion,Gender,Age
Happy_Female_(25-32)_2025-05-04_19-30-39.jpg,2025-05-04 19:30:39.318663,user_1,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-30-39.jpg,2025-05-04 19:30:39.986596,user_1,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-30-40.jpg,2025-05-04 19:30:40.570319,user_1,Happy,Female,(25-32)
Neutral_Female_(38-43)_2025-05-04_19-43-06.jpg,2025-05-04 19:43:06.019431,Neutral,Female,(38-43)
Neutral_Female_(8-12)_2025-05-04_19-43-06.jpg,2025-05-04 19:43:06.494907,Neutral,Female,(8-12)
Neutral_Female_(25-32)_2025-05-04_19-43-06.jpg,2025-05-04 19:43:06.947636,Neutral,Female,(25-32)
Sad_Female_(25-32)_2025-05-04_19-43-07.jpg,2025-05-04 19:43:07.461553,Sad,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-07.jpg,2025-05-04 19:43:07.871650,Neutral,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_19-43-08.jpg,2025-05-04 19:43:08.228377,Angry,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-08.jpg,2025-05-04 19:43:08.587362,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-09.jpg,2025-05-04 19:43:09.004279,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-09.jpg,2025-05-04 19:43:09.340600,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-09.jpg,2025-05-04 19:43:09.773421,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-10.jpg,2025-05-04 19:43:10.178713,Neutral,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-10.jpg,2025-05-04 19:43:10.642159,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-11.jpg,2025-05-04 19:43:11.002595,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-11.jpg,2025-05-04 19:43:11.457951,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-11.jpg,2025-05-04 19:43:11.911246,Happy,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-12.jpg,2025-05-04 19:43:12.476110,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-12.jpg,2025-05-04 19:43:12.903788,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-13.jpg,2025-05-04 19:43:13.329285,Neutral,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-13.jpg,2025-05-04 19:43:13.734789,Happy,Female,(25-32)
Happy_Female_(25-32)_2025-05-04_19-43-14.jpg,2025-05-04 19:43:14.050226,Happy,Female,(25-32)
Angry_Female_(25-32)_2025-05-04_19-43-14.jpg,2025-05-04 19:43:14.452431,Angry,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_19-43-14.jpg,2025-05-04 19:43:14.840355,Surprise,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_19-43-15.jpg,2025-05-04 19:43:15.221506,Surprise,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_19-43-15.jpg,2025-05-04 19:43:15.642420,Surprise,Female,(25-32)
Surprise_Female_(25-32)_2025-05-04_19-43-16.jpg,2025-05-04 19:43:16.085526,Surprise,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_19-43-16.jpg,2025-05-04 19:43:16.426993,Neutral,Female,(25-32)
Neutral_Male_20250504_195307.jpg,2025-05-04 19:53:07,Neutral,Male
Neutral_Female_20250504_195311.jpg,2025-05-04 19:53:11,Neutral,Female
Sad_Female_20250504_195312.jpg,2025-05-04 19:53:12,Sad,Female
Sad_Female_20250504_195313.jpg,2025-05-04 19:53:13,Sad,Female
Neutral_Female_20250504_195315.jpg,2025-05-04 19:53:15,Neutral,Female
Angry_Female_20250504_195316.jpg,2025-05-04 19:53:16,Angry,Female
Angry_Female_20250504_195317.jpg,2025-05-04 19:53:17,Angry,Female
Neutral_Female_20250504_195318.jpg,2025-05-04 19:53:18,Neutral,Female
Happy_Female_20250504_195319.jpg,2025-05-04 19:53:19,Happy,Female
Neutral_Female_20250504_195320.jpg,2025-05-04 19:53:20,Neutral,Female
Happy_Female_20250504_195322.jpg,2025-05-04 19:53:22,Happy,Female
Angry_Female_20250504_195323.jpg,2025-05-04 19:53:23,Angry,Female
Happy_Female_20250504_195324.jpg,2025-05-04 19:53:24,Happy,Female
Happy_Male_20250504_195325.jpg,2025-05-04 19:53:25,Happy,Male
Angry_Female_20250504_195327.jpg,2025-05-04 19:53:27,Angry,Female
Surprise_Female_20250504_195328.jpg,2025-05-04 19:53:28,Surprise,Female
Surprise_Female_20250504_195329.jpg,2025-05-04 19:53:29,Surprise,Female
Angry_Female_20250504_195331.jpg,2025-05-04 19:53:31,Angry,Female
Angry_Female_20250504_195408.jpg,2025-05-04 19:54:08,Angry,Female
Angry_Female_20250504_195409.jpg,2025-05-04 19:54:09,Angry,Female
Angry_Female_20250504_195411.jpg,2025-05-04 19:54:11,Angry,Female
Happy_Female_20250504_195412.jpg,2025-05-04 19:54:12,Happy,Female
Sad_Female_20250504_195413.jpg,2025-05-04 19:54:13,Sad,Female
Sad_Female_20250504_195414.jpg,2025-05-04 19:54:14,Sad,Female
Sad_Female_20250504_195415.jpg,2025-05-04 19:54:15,Sad,Female
Sad_Female_20250504_195416.jpg,2025-05-04 19:54:16,Sad,Female
Happy_Female_20250504_195418.jpg,2025-05-04 19:54:18,Happy,Female
Happy_Female_20250504_195419.jpg,2025-05-04 19:54:19,Happy,Female
Angry_Female_20250504_195420.jpg,2025-05-04 19:54:20,Angry,Female
Sad_Female_20250504_195421.jpg,2025-05-04 19:54:21,Sad,Female
Angry_Female_20250504_195422.jpg,2025-05-04 19:54:22,Angry,Female
Sad_Female_20250504_195423.jpg,2025-05-04 19:54:23,Sad,Female
Happy_Female_20250504_195424.jpg,2025-05-04 19:54:24,Happy,Female
Happy_Female_20250504_195426.jpg,2025-05-04 19:54:26,Happy,Female
Neutral_Female_20250504_195744.jpg,2025-05-04 19:57:44,Neutral,Female
Neutral_Male_20250504_195748.jpg,2025-05-04 19:57:48,Neutral,Male
Sad_Female_20250504_195749.jpg,2025-05-04 19:57:49,Sad,Female
Sad_Female_20250504_195751.jpg,2025-05-04 19:57:51,Sad,Female
Neutral_Female_20250504_195752.jpg,2025-05-04 19:57:52,Neutral,Female
Neutral_Female_20250504_195753.jpg,2025-05-04 19:57:53,Neutral,Female
Neutral_Female_20250504_195754.jpg,2025-05-04 19:57:54,Neutral,Female
Sad_Female_20250504_195755.jpg,2025-05-04 19:57:55,Sad,Female
Neutral_Female_20250504_195757.jpg,2025-05-04 19:57:57,Neutral,Female
Angry_Female_20250504_195758.jpg,2025-05-04 19:57:58,Angry,Female
Sad_Female_20250504_195759.jpg,2025-05-04 19:57:59,Sad,Female
Angry_Female_20250504_195800.jpg,2025-05-04 19:58:00,Angry,Female
Happy_Female_20250504_195801.jpg,2025-05-04 19:58:01,Happy,Female
Neutral_Female_20250504_195803.jpg,2025-05-04 19:58:03,Neutral,Female
Sad_Female_20250504_195804.jpg,2025-05-04 19:58:04,Sad,Female
Neutral_Female_20250504_195805.jpg,2025-05-04 19:58:05,Neutral,Female
Sad_Female_20250504_195807.jpg,2025-05-04 19:58:07,Sad,Female
Neutral_Female_20250504_195808.jpg,2025-05-04 19:58:08,Neutral,Female
Sad_Female_20250504_195809.jpg,2025-05-04 19:58:09,Sad,Female
Neutral_Female_(25-32)_2025-05-04_20-00-52.jpg,2025-05-04 20:00:52.497827,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-00-52.jpg,2025-05-04 20:00:52.896506,Neutral,Female,(25-32)
Neutral_Female_(15-20)_2025-05-04_20-00-53.jpg,2025-05-04 20:00:53.408903,Neutral,Female,(15-20)
Neutral_Female_(25-32)_2025-05-04_20-00-53.jpg,2025-05-04 20:00:53.865145,Neutral,Female,(25-32)
